"h0" "h1" "h2" "h3" "h4" "h5" "h6" "h7" "h8" "h9" "h10" "h11" "h12" "h13" "h14" "h15" "h16" "h17" "h18" "h19" "h20" "h21" "h22" "h23" "h24" "daytype"
"2023-02-14" 30.876 28.872 27.729001 27.717 27.505 29.317 33.704 40.534001 46.368 49.713 48.458001 47.543 45.74 43.715001 45.229 46.278 46.209 45.367001 47.335999 48.144 45.91 42.45 38.653 35.263 31.414 "Working day"
"2023-02-15" 31.414 28.9 27.880999 27.651999 27.801001 29.047 33.726 40.674999 46.428 49.736 49.281999 48.488 46.159 44.068999 44.989999 46.074 45.466 44.973001 47.221999 48.01 46.255001 43.244 38.689998 34.980999 31.584999 "Working day"
"2023-02-16" 31.584999 28.940001 27.756999 27.441 27.944999 29.281 34.423999 40.99 45.873001 48.118 46.939002 45.588 44.023999 42.998 43.623001 44.735999 45.126001 45.471999 46.810001 47.388999 45.604 42.394 37.937999 34.201 31.199001 "Working day"
"2023-02-17" 31.199001 29.028999 27.633 27.422999 27.327 29.072999 33.695 40.232999 44.805 47.131999 47.828999 46.879999 45.041999 42.807 43.279 45.035 44.485 43.22 45.368999 46.153001 43.777999 41.277 37.171 33.856001 30.599001 "Working day"
"2023-02-18" 30.599001 27.969 26.952 26.504 26.297 26.895999 28.724999 32.094 34.949001 37.506999 37.664999 36.654 35.579 34.233 32.925 32.627 32.833 32.900999 36.259002 38.510999 37.416 34.675001 32.169 29.914 27.016001 "Holiday"
"2023-02-19" 27.016001 24.672001 23.652 22.916001 22.365 22.883999 24.027 24.779 26.908 29.94 31.234001 30.693 31.393001 30.154001 29.521001 29.281 29.323 29.157 32.55 34.979999 34.306999 32.679 30.311999 27.82 25.034 "Holiday"
"2023-02-20" 25.034 23.504 22.823 22.566001 22.813001 24.512001 29.860999 36.361999 42.719 46.232999 45.877001 45.314 43.145001 42.134999 42.92 43.863001 43.83 42.702999 44.577001 45.462999 44.135001 41.13 36.598 33.263 30.295999 "Working day"
"2023-02-21" 30.295999 28.271001 27.337001 27.349 27.272999 28.624 32.996001 38.447 43.99 46.374 45.269999 44.136001 42.684001 41.684001 43.487 43.534001 43.521 42.8 44.299 45.551999 43.677 40.815002 36.781 33.268 30.278 "Working day"
"2023-02-22" 30.278 27.878 26.814001 26.767001 26.823001 28.213001 32.859 38.683 44.020001 46.419001 45.833 44.802001 43.175001 41.11 42.448999 43.611 43.911 43.436001 44.703999 45.671 43.564 41.270999 37.158999 33.518001 30.379999 "Working day"
"2023-02-23" 30.379999 28.329002 27.021 26.678 26.921 28.618 32.531001 38.349 43.295 44.644999 44.617 43.852001 42.225001 42.276 43.384 43.696 43.656002 42.601001 44.067999 45.773 43.824 41.207999 36.931 33.266 29.941999 "Working day"
"2023-02-24" 29.941999 28.146999 26.807999 26.589 26.811001 27.99 32.411 37.905999 43.127 45.471001 44.65 44.56 42.895001 41.939 42.680001 42.524 42.827001 42.000001 43 44.453001 42.920001 40.058 36.405 33.18 29.805999 "Working day"
"2023-02-25" 29.805999 27.816001 26.919999 26.249 26.09 26.424001 27.861001 30.406 33.305 35.402 35.883999 34.805 34.608999 31.376001 30.997 30.909999 31.022 32.484 35.36 37.544999 36.129999 33.467 30.991999 28.422999 25.803001 "Holiday"
"2023-02-26" 25.803001 24.007999 22.694 22.079 21.832999 22.238 23.181 23.843999 25.491 28.427999 29.818 31.153 32.111 31.648999 29.639 29.436 28.905001 30.267 33.627999 36.709001 35.34 33.361 31.105 28.331999 25.63 "Holiday"
"2023-02-27" 25.63 24.464999 23.671 23.608001 23.708 25.53 30.874 37.377 43.685001 46.440001 46.925001 46.324001 44.758 44.033999 45.270001 45.785002 45.621 43.903 44.645998 45.823001 44.349 41.398999 37.19 33.282 30.300999 "Working day"
"2023-02-28" 30.300999 28.282999 27.042001 26.772999 26.796 28.656 33.326 39.35 44.715 46.742002 47.320001 47.268999 44.835 43.308 43.649 44.482 44.48 44.366 45.223 46.935999 44.647 41.73 37.225001 34.050999 30.781 "Working day"
"2023-03-01" 30.781 28.682 27.556 27.015 27.251 28.757 33.309001 39.394999 44.682999 47.441 48.245001 47.278999 46.090999 44.838 46.1 46.451 46.322 45.243999 46.046 47.468 45.773999 43.071999 38.599001 34.816 31.512 "Working day"
"2023-03-02" 31.512 28.992 28.149001 28.001001 28.284 29.952 33.89 39.633001 45.505 47.858 47.3 47.681999 45.188001 44.142999 45.169 45.850999 45.918 44.530001 45.053 46.906 45.071 41.959 37.818 34.343 30.847 "Working day"
"2023-03-03" 30.847 28.431 27.468999 26.915 26.963999 28.494 33.077999 39.007999 45.13 48.218 47.767999 47.819 45.345 44.206 44.912 44.447 44.903001 43.304 44.225 46.088 44.222001 41.065001 37.132999 34.065999 30.609 "Working day"
"2023-03-04" 30.609 28.344001 27.494001 26.628999 26.499 26.876 28.946 31.097001 35.399 38.339 38.846 37.844999 36.001001 34.618 33.118 32.883999 31.987999 32.221 34.967 38.636999 37.526 34.938999 32.408 29.974001 27.491999 "Holiday"
"2023-03-05" 27.491999 25.536999 24.436001 23.681 23.51 23.878 24.823999 25.109001 28.416999 31.193 32.283001 31.553 31.882 30.632999 30.134999 30.197001 29.948 30.103 32.339001 36.296 35.323001 33.367001 31.578 28.792999 26.523 "Holiday"
"2023-03-06" 26.523 24.793001 23.54 23.684001 24.244 26.281001 31.164 36.768001 43.233001 44.881 44.473001 45.265999 42.81 42.484001 42.209999 43.366 44.459001 43.998001 44.547 46.822001 44.879999 42.092 37.969001 33.979999 31.250001 "Working day"
"2023-03-07" 31.250001 29.008001 27.837 27.365 27.711 29.165999 33.541 39.757001 46.402 48.649 47.654 47.317 46.152 45.077 45.868999 47.328001 46.658001 44.767 45.130999 47.366998 45.806 42.656001 38.619999 34.524999 30.928999 "Working day"
"2023-03-08" 30.928999 28.769 27.488998 26.823 27.050999 28.665999 33.202999 38.831 44.683001 45.678001 45.488999 44.856 43.551 42.064002 43.930001 44.175 44.034 43.043 43.333 45.275001 43.123 40.513001 36.514 33.354001 30.223 "Working day"
"2023-03-09" 30.223 28.455001 27.149001 26.899999 27.291 28.583999 32.680001 37.860001 43.513999 45.612001 44.920999 44.982999 43.563 41.985 43.809999 44.347 43.535999 42.234999 42.096999 44.697 42.906999 40.313998 36.478 32.892001 30.051 "Working day"
"2023-03-10" 30.051 28.266001 27.522 26.907999 27.211002 28.658001 32.271001 36.369 41.907001 44.052999 44.185001 44.271999 41.407001 40.776 41.315 40.409001 41.119 41.073 40.948999 43.631001 41.642999 39.204001 35.611001 32.595 29.098 "Working day"
"2023-03-11" 29.098 26.627 25.701999 24.988999 25.061 25.481002 27.111001 29.076 32.232 33.881 33.923002 34.205 33.285 31.605 30.354999 30.456 30.706001 30.079 31.705 35.782 34.781 32.519 29.784999 27.456 25.317999 "Holiday"
"2023-03-12" 25.317999 23.349 22.323 21.929 21.879 22.15 22.873 23.213 26.615 28.707 29.585001 30.661 31.570001 29.873001 28.153 27.715 27.967 27.575001 28.837999 33.17 32.787 31.429002 29.225 26.716 24.316 "Holiday"
